orgId,condition_key,n_genes,cond_iqr,cond_mad
BFirm,l-phenylalanine (c)|rch2_defined_nocarbon|30,5428,0.28345982367650646,0.14183453901375598
BFirm,l-phenylalanine (n)|rch2_defined_glucose_nonitrogen|30,5428,0.40651446264852953,0.20367535455978505
BFirm,l-proline (c)|rch2_defined_nocarbon|30,5428,0.2642961843281565,0.132045750365368
BFirm,l-proline (n)|rch2_defined_glucose_nonitrogen|30,5428,0.3865302538631492,0.19145087367291205
BFirm,l-rhamnose (c)|rch2_defined_nocarbon|30,5428,0.27670163568921474,0.13807873226304257
BFirm,l-serine (n)|rch2_defined_glucose_nonitrogen|30,5428,0.46132604239519975,0.22804779695728972
BFirm,l-serine|rch2_defined_glucose|30,10856,0.3036843360056665,0.15180161188247182
BFirm,l-tryptophan (c)|rch2_defined_nocarbon|30,5428,0.2986484161405105,0.14721875983689997
BFirm,"lb, 23c|lb|23",10856,0.29498623645313327,0.1466031056679687
BFirm,"lb, 30c|lb|30",5428,0.27562717887657673,0.13721820576923
BFirm,"lb, 37c|lb|37",5428,0.4316800599884283,0.2153954542746285
BFirm,"lb, ph4|lb|30",10856,0.29775158390887246,0.1481791043787705
BFirm,"lb, ph5|lb|30",10856,0.26772614238123427,0.1336962810164859
BFirm,"lb, ph6|lb|30",5428,0.2722483264241165,0.13625047083032368
BFirm,"lb, ph7|lb|30",10856,0.288604108995149,0.14431510898967737
BFirm,lb|lb|30,16284,0.28458745426431875,0.14164833396921972
BFirm,lomefloxacin 0.001 mm|lb|30,5428,0.32066676672357425,0.1599729453271895
BFirm,m-inositol (c)|rch2_defined_nocarbon|30,5428,0.286664043769926,0.1434089702494899
BFirm,min media with glucose|rch2_defined_glucose|30,10856,0.30098736039079427,0.14986779954088345
BFirm,nag (c)|rch2_defined_nocarbon|30,5428,0.27569540406876347,0.13795737186023688
BFirm,nag (n)|rch2_defined_glucose_nonitrogen|30,5428,0.3942363956159485,0.1946950537959285
BFirm,nickel (ii) chloride 0.5 mm|lb|30,5428,0.27831396222656624,0.139352787656465
BFirm,nickel (ii) chloride 1 mm|lb|30,5428,0.3199419986385525,0.1607898842753605
BFirm,no vitamins t1|rch2_defined_glucose_novitamin|30,5428,0.40883262551126026,0.20458432928523398
BFirm,no vitamins t2|rch2_defined_glucose_novitamin|30,5428,0.4056752168033465,0.202351527913694
BFirm,"outer cut, lb soft agar motility assay|lb|30",16284,0.48141078110109925,0.238553844527898
BFirm,paraquat dichloride 0.032 mg/ml|lb|30,5428,0.35787518354963954,0.17923271724518902
BFirm,paraquat dichloride 0.064 mg/ml|lb|30,5428,0.353130943015284,0.17675339339976226
BFirm,phenylacetic 5 mm (c)|rch2_defined_nocarbon|30,10856,0.4888418780278007,0.24378414751982108
BFirm,polymyxin b sulfate 0.0625 mg/ml|lb|30,5428,0.265194351792636,0.132498055913991
BFirm,putrescine (c)|rch2_defined_nocarbon|30,5428,0.30520790260511277,0.15229550778278417
BFirm,putrescine (n)|rch2_defined_glucose_nonitrogen|30,5428,0.4025879704197185,0.200940268833364
BFirm,pyruvate (c)|rch2_defined_nocarbon|30,5428,0.282467935098711,0.13880406102591908
BFirm,succinate (c)|rch2_defined_nocarbon|30,5428,0.283993270954341,0.1404291827879055
BFirm,thallium(i) acetate 0.01 mg/ml|lb|30,5428,0.2836311617077447,0.141924055171761
BFirm,trisodium citrate (c)|rch2_defined_nocarbon|30,5428,0.31147211136731856,0.154936128377741
BFirm,tween 20 (c)|rch2_defined_nocarbon|30,5428,0.478962942823685,0.23910010949576868
BFirm,uridine (n)|rch2_defined_glucose_nonitrogen|30,5428,0.37795066211885703,0.1888020257502756
BFirm,with vitamins t1|rch2_defined_glucose|30,5428,0.42219055524576954,0.2106891410145055
BFirm,with vitamins t2|rch2_defined_glucose|30,5428,0.40317125011385974,0.200188540452519
BFirm,xylitol (c)|rch2_defined_nocarbon|30,5428,0.3827777176582155,0.1915600537886925
BFirm,zinc 0.5 mm|lb|30,5428,0.2728772744630956,0.13582981306585984
Btheta,(+)-arabinogalactan (c)|varel_bryant_medium|37,8110,0.47330931468765003,0.2319838170151205
Btheta,"1,4-b-d-galactobiose (c)|varel_bryant_medium|37",8110,0.38203910472386504,0.1888828451589305
Btheta,6-o-acetyl-d-glucose (c)|varel_bryant_medium|37,8110,0.360707647227439,0.17949154455820798
Btheta,a-cyclodextrin (c)|varel_bryant_medium|37,8110,0.30445586162627947,0.1491128144412635
Btheta,aerobic shaking 48 hr copy a|bhis|37,4055,0.531275085459832,0.2649957800353963
Btheta,aerobic shaking 48 hr copy b|bhis|37,4055,0.521551262014134,0.2592522744315506
Btheta,agro_defined_trehalose 1x (c)|varel_bryant_medium|37,4055,0.34702793600319,0.1686073554309131
Btheta,ammonium chloride (n)|varel_bryant_medium_nonitrogen|37,8110,0.3567144463958377,0.175115656298156
Btheta,amylopectin from maize (c)|varel_bryant_medium|37,8110,0.302861240411487,0.15074444779860632
Btheta,amylopectin from maize|varel_bryant_medium|37,8110,0.39005304445182554,0.19140240059965755
Btheta,amylose from potato|varel_bryant_medium|37,8110,0.3408746140750395,0.167826547987548
Btheta,beta-lactose (c)|varel_bryant_medium|37,8110,0.342673746273623,0.16830731857611708
Btheta,bhis with 2-mercaptopyridine n-oxide 0.1 mm|bhis|37,8110,0.3371014274927543,0.1652285016668476
Btheta,bhis with 2-mercaptopyridine n-oxide 0.2 mm|bhis|37,8110,0.3499098702383215,0.1700124344348339
Btheta,bhis with 5-fluorouracil 0.1 mm|bhis|37,8110,0.5975851443190074,0.2987046727094572
Btheta,bhis with 5-fluorouracil 0.2 mm|bhis|37,4055,0.5809146691124709,0.29107466703112833
Btheta,bhis with 8-hydroxy-nitroquinoline 0.1 mm|bhis|37,4055,0.3731915385843375,0.1828510234027044
Btheta,bhis with anhydrotetracycline 0.00078125 mm|bhis|37,4055,0.396192322053921,0.1947997192408248
Btheta,bhis with anhydrotetracycline 0.0125 mm|bhis|37,4055,0.32470107133891346,0.1593968374760099
Btheta,bhis with antimycin a 0.1 mm|bhis|37,4055,0.4092357651199695,0.20048301515512784
Btheta,bhis with antimycin a 0.2 mm|bhis|37,4055,0.39385415226987297,0.1922546433291243
Btheta,bhis with benzethonium chloride 0.00078125 mm|bhis|37,4055,0.386102525949639,0.19081557625097742
Btheta,bhis with benzethonium chloride 0.002 mm|bhis|37,8110,0.39763598695325,0.196586353909273
Btheta,bhis with benzethonium chloride 0.003 mm|bhis|37,8110,0.33086699474037395,0.16223918764185555
Btheta,bhis with cefoxitin 0.0125 mm|bhis|37,4055,0.44544121232339295,0.2227889008289018
Btheta,bhis with cefoxitin 0.025 mm|bhis|37,4055,0.5922208918604945,0.2964192974803981
Btheta,bhis with ceftazidime 0.5 mg/ml|bhis|37,4055,0.462088822079172,0.2313977700576881
Btheta,bhis with ceftriaxone hemi(heptahydrate) 0.1 mm|bhis|37,4055,0.40857556991337,0.2041785434864769
Btheta,bhis with ceftriaxone hemi(heptahydrate) 0.2 mm|bhis|37,4055,0.3699975578350635,0.18624264647505892
Btheta,bhis with cephalothin 0.1 mm|bhis|37,8110,0.4256007853037007,0.2110677676120155
Btheta,bhis with cephalothin 0.2 mm|bhis|37,4055,0.5679755455532229,0.2850434443830487
Btheta,bhis with cephalothin 0.625 mg/ml|bhis|37,8110,0.44181924095691005,0.2212802451980965
Btheta,bhis with chenodeoxycholic 0.25 mg/ml|bhis|37,8110,0.5264850280261679,0.26025603436569983
Btheta,bhis with chlorhexidine diacetate salt 0.00075 mm|bhis|37,8110,0.336922889531984,0.16610967657208014
Btheta,bhis with chlorhexidine diacetate salt 0.0015625 mm|bhis|37,4055,0.381939282272604,0.1899315233658905
Btheta,bhis with chlorhexidine diacetate salt 0.003125 mm|bhis|37,4055,0.402654202503261,0.1989825472247597
Btheta,bhis with chloride 350 mm|bhis|37,4055,0.5059818858395875,0.25373827554713607
Btheta,bhis with chlorpromazine 0.1 mm|bhis|37,8110,0.5413479267399685,0.2692725353099147
Btheta,bhis with chlorpromazine 0.2 mm|bhis|37,8110,0.46387354526450403,0.2307377256147365
Btheta,bhis with ciprofloxacin hydrochloride 0.025 mm|bhis|37,4055,0.3843783469551365,0.1917994265948745
Btheta,bhis with deoxycholic 0.2 mg/ml|bhis|37,4055,0.5435143789413035,0.26872960318630423
Btheta,bhis with dimethyl sulfoxide 0.05 vol%|bhis|37,4055,0.37956701941134346,0.1871288887414643
Btheta,bhis with dimethyl sulfoxide 0.1 vol%|bhis|37,4055,0.3768876592059825,0.1850831647111638
Btheta,bhis with dimethyl sulfoxide 0.2 vol%|bhis|37,20275,0.367808365537946,0.18258221317167078
Btheta,bhis with dimethyl sulfoxide 10 vol%|bhis|37,8110,0.5415518510130785,0.26778181125881495
Btheta,bhis with dimethyl sulfoxide 2 vol%|bhis|37,12165,0.2695180638910603,0.1334488333184787
Btheta,bhis with dimethyl sulfoxide 9 vol%|bhis|37,8110,0.5290604419286782,0.261279641393944
Btheta,bhis with dimetridazole 0.00078125 mm|bhis|37,4055,0.39992761290470996,0.1987094292655826
Btheta,bhis with dimetridazole 0.0015625 mm|bhis|37,4055,0.45183536652042805,0.22265374795559448
Btheta,bhis with dimetridazole 0.00625 mm|bhis|37,8110,0.4153248983660712,0.208049478719052
Btheta,bhis with dimetridazole 0.0125 mm|bhis|37,8110,0.32766425487956974,0.16246504468233
Btheta,bhis with dimetridazole 0.025 mm|bhis|37,12165,0.39914963302021,0.1979022533815185
Btheta,bhis with doxycycline hyclate 0.00009765625 mm|bhis|37,4055,0.3478908195585195,0.17388635729229282
Btheta,bhis with doxycycline hyclate 0.0001953125 mm|bhis|37,8110,0.44807980055594726,0.224884624168159
Btheta,bhis with doxycycline hyclate 0.000390625 mm|bhis|37,4055,0.5419841899047986,0.2651554150757079
Btheta,bhis with econazole nitrate salt 0.01 mm|bhis|37,8110,0.3215543472836393,0.1592659324355845
Btheta,bhis with econazole nitrate salt 0.0125 mm|bhis|37,4055,0.3869715250503455,0.1911792921573477
Btheta,bhis with fusidic 0.002 mg/ml|bhis|37,8110,0.4788334840812333,0.2372434215118335
Btheta,bhis with fusidic 0.004 mg/ml|bhis|37,8110,0.4554301697240948,0.227147809306585
Btheta,bhis with geneticin g418 0.2 mm|bhis|37,4055,0.3728463960702275,0.1838154960153243
Btheta,bhis with irgasan 0.005 mm|bhis|37,4055,0.3000471963176455,0.1458745276426801
Btheta,bhis with irgasan 0.0125 mm|bhis|37,4055,0.4980848488310885,0.2451974748302405
Btheta,bhis with irgasan 0.025 mm|bhis|37,4055,0.41129500438370203,0.19962841697282319
Btheta,bhis with levofloxacin 0.0015625 mm|bhis|37,4055,0.3232857627595605,0.15704379577134409
Btheta,bhis with lincomycin 0.0015625 mm|bhis|37,4055,0.39849254322528793,0.19667980969937782
Btheta,bhis with lithocholic 0.4 mg/ml|bhis|37,8110,0.4846396712890463,0.2405121234015779
Btheta,bhis with lomefloxacin 0.025 mm|bhis|37,8110,0.304542901155245,0.15130827974297287
Btheta,bhis with nitrofurantoin 0.15 mm|bhis|37,8110,0.3105343483107428,0.1534043144712505
