orgId,name,Media,expGroup,condition_1,concentration_1,units_1,condition_2,concentration_2,units_2,condition_3,concentration_3,units_3,condition_4,concentration_4,units_4,temperature,pH,aerobic,shaking,growthMethod
Btheta,set5IT046,Varel_Bryant_medium_Glucose,stress,Thallium(I) acetate,0.025,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT047,Varel_Bryant_medium_Glucose,stress,Thallium(I) acetate,0.05,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT048,Varel_Bryant_medium_Glucose,varel_bryant_medium_glucose,,,,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT054,Varel_Bryant_medium_Glucose,stress,Bile salts,0.5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT055,Varel_Bryant_medium_Glucose,stress,Bile salts,0.25,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT057,Varel_Bryant_medium_Glucose,stress,Bile salts,0.5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT058,Varel_Bryant_medium_Glucose,varel_bryant_medium_glucose,,,,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT061,BHIS,survival,,,,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set5IT062,BHIS,survival,,,,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT001,BHIS,stress,Nitrofurantoin,0.15,mM,Dimethyl Sulfoxide,1.5,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT002,BHIS,stress,Irgasan,0.005,mM,Dimethyl Sulfoxide,0.05,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT003,BHIS,stress,Thioridazine hydrochloride,0.0125,mM,Dimethyl Sulfoxide,0.125,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT006,BHIS,stress,Nitrofurantoin,0.15,mM,Dimethyl Sulfoxide,1.5,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT008,BHIS,stress,Thioridazine hydrochloride,0.0125,mM,Dimethyl Sulfoxide,0.125,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT015,BHIS,stress,Econazole nitrate salt,0.01,mM,Dimethyl Sulfoxide,0.1,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT022,BHIS,stress,Econazole nitrate salt,0.01,mM,Dimethyl Sulfoxide,0.1,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT024,BHIS,stress,Dimethyl Sulfoxide,2,vol%,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT026,BHIS,stress,Chlorhexidine diacetate salt hydrate,0.00075,mM,Dimethyl Sulfoxide,0.075,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT028,BHIS,stress,Zinc Pyrithione,0.05,mM,Dimethyl Sulfoxide,0.5,vol%,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set6IT031,BHIS,stress,Chlorhexidine diacetate salt hydrate,0.00075,mM,Dimethyl Sulfoxide,0.075,vol%,,,,,,,37,,Anaerobic,0 rpm,
